'M.Wallace' 'MIN' 'WR' 8L 122L 1L 6L 0L 0L 22.8
'C.Brown' 'CAR' 'WR' 8L 117L 1L 9L 0L 0L 22.6
'N.Williams' 'ATL' 'WR' 8L 61L 2L 0L 0L 0L 22.1
'Q.Enunwa' 'NYJ' 'WR' 11L 147L 0L 0L 0L 0L 20.2
'M.Mariani' 'CHI' 'WR' 11L 146L 0L 0L 0L 0L 20.1
'B.Coleman' 'NO' 'WR' 7L 105L 1L 0L 0L 0L 20.0
'C.Givens' 'BAL' 'WR' 7L 158L 0L 0L 0L 0L 19.3
'K.Martin' 'NE' 'WR' 10L 102L 1L 0L 0L 1L 19.2
'N.Agholor' 'PHI' 'WR' 8L 88L 1L 0L 0L 0L 18.8
'M.Wilson' 'CHI' 'WR' 8L 146L 0L 0L 0L 0L 18.6
'A.Johnson' 'IND' 'WR' 10L 130L 0L 0L 0L 0L 18.0
'D.Brown' 'SD' 'RB' 3L 45L 0L 118L 0L 0L 17.8
'R.Cooper' 'PHI' 'WR' 10L 122L 0L 0L 0L 0L 17.2
'Q.Patton' 'SF' 'WR' 11L 99L 0L 5L 0L 0L 15.9
'M.Moore' 'CLE' 'WR' 5L 67L 1L 0L 0L 0L 15.2
'J.Hardy' 'ATL' 'WR' 9L 107L 0L 0L 0L 0L 15.2
'R.Greene' 'JAC' 'WR' 8L 51L 1L 0L 0L 0L 15.1
'D.Harris' 'NYG' 'WR' 10L 86L 0L 1L 0L 0L 13.7
'T.Jones' 'DET' 'WR' 8L 92L 0L 0L 0L 0L 13.2
'M.Lee' 'JAC' 'WR' 5L 87L 0L 14L 0L 0L 12.6
'M.Floyd' 'SD' 'WR' 6L 110L 0L 0L 0L 1L 12.0
'M.Floyd' 'SD' 'WR' 6L 110L 0L 0L 0L 1L 12.0
'L.Hankerson' 'ATL' 'WR' 4L 36L 1L 0L 0L 0L 11.6
'J.Crowder' 'WAS' 'WR' 10L 80L 0L 0L 0L 1L 11.0
'J.Bellamy' 'CHI' 'WR' 6L 80L 0L 0L 0L 0L 11.0
'C.Latimer' 'DEN' 'WR' 3L 29L 1L 1L 0L 0L 10.5
'M.Sanu' 'CIN' 'WR' 7L 59L 0L 11L 0L 0L 10.5
'J.Strong' 'HOU' 'WR' 3L 29L 1L 0L 0L 0L 10.4
'D.Smith' 'NYJ' 'WR' 2L 33L 1L 0L 0L 0L 10.3
'G.Jennings' 'MIA' 'WR' 4L 21L 1L 0L 0L 0L 10.1
'L.Whitehead' 'DAL' 'WR' 3L 11L 0L 70L 0L 0L 9.6
'D.Brown' 'BAL' 'WR' 6L 64L 0L 0L 0L 0L 9.4
'J.Simpson' 'SF' 'WR' 2L 20L 1L 0L 0L 0L 9.0
'C.Johnson' 'ARI' 'RB' 1L 2L 0L 80L 0L 0L 8.7
'B.Marquez' 'STL' 'WR' 9L 61L 0L 0L 0L 1L 8.6
'B.Walters' 'JAC' 'WR' 5L 57L 0L 0L 0L 0L 8.2
'A.Caldwell' 'DEN' 'WR' 2L 8L 1L 3L 0L 0L 8.1
'E.Royal' 'CHI' 'WR' 6L 46L 0L 0L 0L 0L 7.6
'D.Dye' 'TB' 'WR' 2L 60L 0L 0L 0L 0L 7.0
'J.Abbrederis' 'GB' 'WR' 4L 49L 0L 0L 0L 0L 6.9
'R.Shepard' 'TB' 'WR' 1L 4L 1L 0L 0L 0L 6.9
'K.Wright' 'TEN' 'WR' 5L 47L 0L -4L 0L 0L 6.8
'D.Harris' 'KC' 'TE' 4L 44L 0L 0L 0L 0L 6.4
'J.Norwood' 'DEN' 'WR' 4L 42L 0L 0L 0L 0L 6.2
'L.Moore' 'DET' 'WR' 3L 45L 0L 0L 0L 0L 6.0
'D.Jennings' 'CLE' 'WR' 5L 35L 0L 0L 0L 0L 6.0
'J.Avant' 'KC' 'WR' 4L 38L 0L 0L 0L 0L 5.8
'G.Whalen' 'IND' 'WR' 6L 38L 0L 0L 0L 1L 4.8
'A.Holmes' 'OAK' 'WR' 4L 27L 0L 0L 0L 0L 4.7
'R.Grant' 'WAS' 'WR' 2L 32L 0L 0L 0L 0L 4.2
"N.O'Leary" 'BUF' 'WR' 1L 37L 0L 0L 0L 0L 4.2
'B.Bersin' 'CAR' 'WR' 2L 27L 0L 0L 0L 0L 3.7
'B.Quick' 'STL' 'WR' 3L 22L 0L 0L 0L 0L 3.7
'C.Matthews' 'BAL' 'WR' 2L 27L 0L 0L 0L 0L 3.7
'R.Ross' 'WAS' 'WR' 2L 27L 0L 0L 0L 0L 3.7
'A.Turzilli' 'TEN' 'WR' 2L 25L 0L 0L 0L 0L 3.5
'D.Bowe' 'CLE' 'WR' 2L 22L 0L 0L 0L 0L 3.2
'B.Fowler' 'DEN' 'WR' 2L 20L 0L 0L 0L 0L 3.0
'T.Gabriel' 'CLE' 'WR' 2L 18L 0L 0L 0L 0L 2.8
'D.Street' 'DAL' 'WR' 2L 37L 0L 0L 0L 1L 2.7
'Ja.Brown' 'ARI' 'WR' 2L 16L 0L 0L 0L 0L 2.6
'D.Heyward-Bey' 'PIT' 'WR' 1L 21L 0L 0L 0L 0L 2.6
'A.Dobson' 'NE' 'WR' 1L 17L 0L 0L 0L 0L 2.2
'C.Conley' 'KC' 'WR' 1L 17L 0L 0L 0L 0L 2.2
'B.Butler' 'DAL' 'WR' 1L 16L 0L 0L 0L 0L 2.1
'C.Fuller' 'DET' 'WR' 1L 15L 0L 0L 0L 0L 2.0
'R.Matthews' 'MIA' 'WR' 1L 15L 0L 0L 0L 0L 2.0
'M.Alford' 'CIN' 'WR' 1L 15L 0L 0L 0L 0L 2.0
'A.Thielen' 'MIN' 'WR' 1L 7L 0L 8L 0L 0L 2.0
'M.Austin' 'PHI' 'WR' 1L 12L 0L 0L 0L 0L 1.7
'B.Daniels' 'SEA' 'WR' 1L 6L 0L 0L 0L 0L 1.1
'R.Smith' 'DAL' 'WR' 1L 6L 0L 0L 0L 0L 1.1
'C.Meredith' 'CHI' 'WR' 1L 6L 0L 0L 0L 0L 1.1
'S.Ajirotutu' 'PHI' 'WR' 1L 4L 0L 0L 0L 0L 0.9
'P.Dorsett' 'IND' 'WR' 1L 1L 0L 0L 0L 0L 0.6
'B.Ellington' 'SF' 'WR' 1L 0L 0L 0L 0L 1L -1.5
