'L.Whitehead' 'DAL' 'WR' 1L 8L 0L 0L 0L 0L 1.3
'J.Bellamy' 'CHI' 'WR' 1L 6L 0L 0L 0L 0L 1.1
'B.Tate' 'CIN' 'WR' 1L 4L 0L 0L 0L 0L 0.9
'D.Dye' 'TB' 'WR' 1L 4L 0L 0L 0L 0L 0.9
'M.Wallace' 'MIN' 'WR' 1L 4L 0L 0L 0L 0L 0.9
'T.Gabriel' 'CLE' 'WR' 1L 3L 0L 0L 0L 0L 0.8
'M.White' 'NYG' 'WR' 1L 3L 0L 0L 0L 0L 0.8
'B.Marquez' 'STL' 'WR' 1L 3L 0L 0L 0L 0L 0.8
'D.Harris' 'NYG' 'WR' 1L 1L 0L 0L 0L 0L 0.6
'B.Quick' 'STL' 'WR' 1L -1L 0L 0L 0L 0L 0.4
'M.Wheaton' 'PIT' 'WR' 1L -2L 0L 0L 0L 0L 0.3
