'R.Randle' 'NYG' 'WR' 2L 22L 0L 0L 0L 0L 3.2
'B.Marquez' 'STL' 'WR' 3L 16L 0L 0L 0L 0L 3.1
'B.Walters' 'JAC' 'WR' 2L 18L 0L 0L 0L 0L 2.8
'A.Wilson' 'KC' 'WR' 1L 17L 0L 5L 0L 0L 2.7
'D.Heyward-Bey' 'PIT' 'WR' 1L 21L 0L 0L 0L 0L 2.6
'S.Diggs' 'MIN' 'WR' 2L 22L 0L -6L 0L 0L 2.6
'M.Lee' 'JAC' 'WR' 1L 17L 0L 4L 0L 0L 2.6
'W.Welker' 'STL' 'WR' 2L 15L 0L 0L 0L 0L 2.5
'J.Jones' 'GB' 'WR' 1L 19L 0L 0L 0L 0L 2.4
'D.Brown' 'BAL' 'WR' 1L 17L 0L 0L 0L 0L 2.2
'J.Bellamy' 'CHI' 'WR' 1L 16L 0L 0L 0L 0L 2.1
'J.Abbrederis' 'GB' 'WR' 1L 16L 0L 0L 0L 0L 2.1
'D.Inman' 'SD' 'WR' 1L 15L 0L 0L 0L 0L 2.0
'C.Fuller' 'DET' 'WR' 1L 15L 0L 0L 0L 0L 2.0
'M.Alford' 'CIN' 'WR' 1L 15L 0L 0L 0L 0L 2.0
'M.Moore' 'CLE' 'WR' 1L 14L 0L 0L 0L 0L 1.9
'B.Quick' 'STL' 'WR' 1L 14L 0L 0L 0L 0L 1.9
'G.Whalen' 'IND' '' 2L 9L 0L 0L 0L 0L 1.9
'M.Colston' 'NO' 'WR' 1L 14L 0L 0L 0L 0L 1.9
'R.Cooper' 'PHI' 'WR' 1L 14L 0L 0L 0L 0L 1.9
'C.Brown' 'CAR' 'WR' 2L 7L 0L 0L 0L 0L 1.7
'C.Hogan' 'BUF' 'WR' 1L 12L 0L 0L 0L 0L 1.7
'J.Landry' 'MIA' 'WR' 2L 5L 0L 0L 0L 0L 1.5
'H.Douglas' 'TEN' 'WR' 1L 8L 0L 0L 0L 0L 1.3
'D.Harris' 'NYG' 'WR' 1L 8L 0L 0L 0L 0L 1.3
'Z.Tipton' 'IND' '' 1L 7L 0L 0L 0L 0L 1.2
'H.Nicks' 'NYG' 'WR' 1L 7L 0L 0L 0L 0L 1.2
'A.Humphries' 'TB' 'WR' 1L 6L 0L 0L 0L 0L 1.1
'M.White' 'NYG' 'WR' 1L 5L 0L 0L 0L 0L 1.0
'J.Krause' 'PHI' 'WR' 1L 4L 0L 0L 0L 0L 0.9
'A.Holmes' 'OAK' 'WR' 1L 1L 0L 0L 0L 0L 0.6
'B.Ellington' 'SF' 'WR' 1L 0L 0L 0L 0L 0L 0.5
'T.Graham' 'NO' '' 1L 0L 0L 0L 0L 0L 0.5
'D.Street' 'DAL' 'WR' 1L 18L 0L 0L 0L 1L 0.3
'M.Floyd' 'SD' 'WR' 1L 15L 0L 0L 0L 1L 0.0
